"Asset TRM ID","Asset","Blockchain","Blockchain TRM ID","Address","Forensics Support","Enhanced Analytics","API Support"
"a_0_x","A0x","BASE","base","0x820c5f0fb255a1d18fd0ebb0f1ccefbc4d546da7","true","true","true"
"a_gi_xt","AGiXT","SOL","solana","F9TgEJLLRUKDRF16HgjUCdJfJ5BK6ucyiW8uJxVPpump","true","true","true"
"a_priori","aPriori","BSC","binance_smart_chain","0x5a9610919f5e81183823a2be4bd1beb2b4da2a20,0x299ad4299da5b2b93fba4c96967b040c7f611099","true","true","true"
"a7a5","A7A5","TRX","trx","TLeVfrdym8RoJreJ23dAGyfJDygRtiWKBZ","true","true","true"
"a7a5","A7A5","ETH","eth","0x6fa0be17e4bea2fcfa22ef89bf8ac9aab0ab0fc9","true","true","true"
"aada_finance","Lenfi","ADA","ada","8fef2d34078659493ce161a6c7fba4b56afefa8535296a5743f69587","true","true","true"
"aag","AAG","ETH","eth","0x5ba19d656b65f1684cfea4af428c23b9f3628f97","true","true","true"
"aave_arbitrum_usd_cn","Aave Arbitrum USDCn","ARBITRUM","arbitrum","0x724dc807b04555b71ed48a6896b6f41593b8c637","true","true","true"
"aave_arbitrum_wbtc","Aave Arbitrum WBTC","ARBITRUM","arbitrum","0x078f358208685046a11c85e8ad32895ded33a249","true","true","true"
"aave_base_usdc","Aave Base USDC","BASE","base","0x4e65fe4dba92790696d040ac24aa414708f5c0ab","true","true","true"
"aave_base_weth","Aave Base WETH","BASE","base","0xd4a0e0b9149bcee3c920d2e00b5de09138fd8bb7","true","true","true"
"aave_base_wst_eth","Aave Base wstETH","BASE","base","0x99cbc45ea5bb7ef3a5bc08fb1b7e56bb2442ef0d","true","true","true"
"aave_cb_btc","Aave cbBTC","ETH","eth","0x5c647ce0ae10658ec44fa4e11a51c96e94efd1dd","true","true","true"
"aave_cb_btc","Aave cbBTC","BASE","base","0xBdb9300b7CDE636d9cD4AFF00f6F009fFBBc8EE6","true","true","true"
